SJEDNICA,STATUS,RBr,AKT,POSTUPAK,PZ_PZE,PREDLAGATELJI_CE
1,NERASPRAVLJENI,21,IZVJEŠĆE O RADU PROGRAMSKOG VIJEĆA HRT-a I O PROVEDBI PROGRAMSKIH NAČELA I OBVEZA HRT-a UTVRĐENIH ZAKONOM O HRT-u I UGOVOROM IZMEĐU HRVATSKE RADIOTELEVIZIJE I VLADE REPUBLIKE HRVATSKE ZA RAZDOBLJE OD 1. SIJEČNJA 2015. DO 31. PROSINCA 2015. GODINE,,,Programsko vijeće HRT
1,NERASPRAVLJENI,22,IZVJEŠĆE O RADU UPRAVNOG VIJEĆA HINE ZA 2015. GODINU,,,Upravno vijeće Hine;
1,NERASPRAVLJENI,25,IZVJEŠĆE O RADU VIJEĆA ZA ELEKTRONIČKE MEDIJE I AGENCIJE ZA ELEKTRONIČKE MEDIJE ZA 2014. GODINU,,,Agencija za elektroničke medije.
1,IZGLASANI,1,"IZVJEŠĆE PREDSJEDNIKA VLADE REPUBLIKE HRVATSKE O SASTANKU EUROPSKOG VIJEĆA, ODRŽANOM 20. I 21. LISTOPADA 2016. GODINE",,,
1,NERASPRAVLJENI,3,IZVJEŠĆE PREDSJEDNIKA VRHOVNOG SUDA REPUBLIKE HRVATSKE O STANJU SUDBENE VLASTI ZA 2015. GODINU,,,predsjednik Vrhovnog suda Republike Hrvatske
1,IZGLASANI,2,"POLUGODIŠNJA INFORMACIJA O FINANCIJSKOM STANJU, STUPNJU OSTVARENJA STABILNOSTI CIJENA I PROVEDBI MONETARNE POLITIKE",,,Hrvatska narodna banka;
1,IZGLASANI,8,PREDSTAVLJANJE VLADE REPUBLIKE HRVATSKE I GLASOVANJE O POVJERENJU VLADI REPUBLIKE HRVATSKE;,,,
1,NERASPRAVLJENI,2,PRIJEDLOG GODIŠNJEG IZVJEŠTAJA O IZVRŠENJU DRŽAVNOG PRORAČUNA REPUBLIKE HRVATSKE ZA 2015. GODINU I PRIJEDLOG GODIŠNJEG IZVJEŠTAJA O PRIMJENI FISKALNIH PRAVILA ZA 2015. GODINU;,,,
1,IZGLASANI,1,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IZBORU PREDSJEDNICE, POTPREDSJEDNIKA I ČLANOVA ODBORA ZA FINANCIJE I DRŽAVNI PRORAČUN HRVATSKOGA SABORA",,,
1,IZGLASANI,2,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IZBORU PREDSJEDNIKA, POTPREDSJEDNICE I ČLANOVA ODBORA ZA PRAVOSUĐE HRVATSKOGA SABORA",,,
1,IZGLASANI,3,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IZBORU PREDSJEDNIKA, POTPREDSJEDNIKA I ČLANOVA ODBORA ZA INFORMIRANJE, INFORMATIZACIJU I MEDIJE HRVATSKOGA SABORA",,,
1,IZGLASANI,4,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IZBORU PREDSJEDNIKA, POTPREDSJEDNIKA I ČLANOVA ODBORA ZA LOKALNU I PODRUČNU (REGIONALNU) SAMOUPRAVU HRVATSKOGA SABORA",,,
1,IZGLASANI,5,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O RAZRJEŠENJU I IZBORU ČLANOVA ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE HRVATSKOGA SABORA",,,
1,IZGLASANI,6,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O RAZRJEŠENJU PREDSTOJNICE UREDA PREDSJEDNIKA HRVATSKOGA SABORA",,,
1,IZGLASANI,61,PRIJEDLOG ODLUKE O IMENOVANJU ČLANOVA ODBORA ZA PODJELU DRŽAVNIH NAGRADA ZA ZNANOST,,,
1,IZGLASANI,62,PRIJEDLOG ODLUKE O IMENOVANJU DRŽAVNOG POVJERENSTVA ZA PROCJENU ŠTETE OD ELEMENTARNIH NEPOGODA.,,,
1,IZGLASANI,5,PRIJEDLOG ODLUKE O IMENOVANJU PRAVOBRANITELJICE ZA OSOBE S INVALIDITETOM.,,,
1,IZGLASANI,16,PRIJEDLOG ODLUKE O IMENOVANJU VRŠITELJA DUŽNOSTI GLAVNOG RAVNATELJA HRVATSKE RADIOTELEVIZIJE,,,"Odbor za informiranje, informatizaciju i medije."
1,IZGLASANI,3,PRIJEDLOG ODLUKE O RAZRJEŠENJU ČLANA I IMENOVANJU ČLANICE POVJERENSTVA ZA FISKALNU POLITIKU,,,Odbor za financije i državni proračun.
1,IZGLASANI,5,PRIJEDLOG ODLUKE O RAZRJEŠENJU I IMENOVANJU TAJNIKA HRVATSKOGA SABORA,,,
1,IZGLASANI,1,PRIJEDLOG ODLUKE O UTVRĐIVANJU OBRASCA ZASTUPNIČKE ISKAZNICE,,,"Odbor za izbor, imenovanja i upravne poslove;"
1,IZGLASANI,7,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IMENOVANJU PREDSTOJNICE UREDA PREDSJEDNIKA HRVATSKOGA SABORA",,,
1,IZGLASANI,41,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IMENOVANJU ČLANA I ZAMJENICE ČLANA IZASLANSTVA HRVATSKOGA SABORA U PARLAMENTARNOJ DIMENZIJI SREDNJOEUROPSKE INICIJATIVE",,,
1,IZGLASANI,44,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IMENOVANJU ČLANA I ZAMJENIKA ČLANOVA IZASLANSTVA HRVATSKOGA SABORA U PARLAMENTARNOJ SKUPŠTINI SEECP",,,
1,IZGLASANI,43,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IMENOVANJU ČLANA IZASLANSTVA HRVATSKOGA SABORA U PARLAMENTARNOJ SKUPŠTINI UNIJE ZA MEDITERAN",,,
1,IZGLASANI,59,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IMENOVANJU ČLANOVA IZASLANSTVA HRVATSKOGA SABORA U PARLAMENTARNOJ SKUPŠTINI UNIJE ZA MEDITERAN",,,
1,IZGLASANI,58,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IMENOVANJU IZASLANSTVA HRVATSKOGA SABORA U PARLAMENTARNOJ DIMENZIJI SREDNJOEUROPSKE INICIJATIVE",,,
1,IZGLASANI,57,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IMENOVANJU IZASLANSTVA HRVATSKOGA SABORA U PARLAMENTARNOJ SKUPŠTINI MEDITERANA",,,
1,IZGLASANI,53,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IMENOVANJU IZASLANSTVA HRVATSKOGA SABORA U PARLAMENTARNOJ SKUPŠTINI VIJEĆA EUROPE",,,
1,IZGLASANI,60,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IMENOVANJU IZASLANSTVA HRVATSKOGA SABORA U PARLAMENTARNOJ SKUPŠTINI SEECP",,,
1,IZGLASANI,54,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IMENOVANJU VODITELJA I ČLANOVA IZASLANSTVA HRVATSKOGA SABORA U PARLAMENTARNOJ SKUPŠTINI NATO",,,
1,IZGLASANI,39,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IMENOVANJU VODITELJA I ČLANOVA IZASLANSTVA HRVATSKOGA SABORA U PARLAMENTARNOJ SKUPŠTINI NATO",,,
1,IZGLASANI,38,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IMENOVANJU VODITELJA, ČLANOVA I ZAMJENIKA ČLANOVA IZASLANSTVA HRVATSKOGA SABORA U PARLAMENTARNOJ SKUPŠTINI VIJEĆA EUROPE",,,
1,IZGLASANI,42,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IMENOVANJU VODITELJICE, ČLANICE I ZAMJENIKA ČLANOVA IZASLANSTVA HRVATSKOGA SABORA U PARLAMENTARNOJ SKUPŠTINI MEDITERANA",,,
1,IZGLASANI,48,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IZBORU ČLANICE ODBORA ZA OBITELJ, MLADE I SPORT HRVATSKOGA SABORA",,,
1,IZGLASANI,56,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IZBORU ČLANOVA I ZAMJENIKA ČLANA IZASLANSTVA HRVATSKOGA SABORA U PARLAMENTARNOJ SKUPŠTINI ORGANIZACIJE ZA EUROPSKU SIGURNOST I SURADNJU",,,
1,IZGLASANI,55,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IZBORU IZVRŠNOG ODBORA NACIONALNE GRUPE HRVATSKOGA SABORA PRI INTERPARLAMENTARNOJ UNIJI",,,
1,IZGLASANI,45,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IZBORU POTPREDSJEDNIKA I ČLANOVA IZVRŠNOG ODBORA NACIONALNE GRUPE HRVATSKOGA SABORA PRI INTERPARLAMENTARNOJ UNIJI",,,
1,IZGLASANI,49,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IZBORU POTPREDSJEDNIKA ODBORA ZA HRVATE IZVAN REPUBLIKE HRVATSKE HRVATSKOGA SABORA",,,
1,IZGLASANI,16,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IZBORU POTPREDSJEDNIKA, POTPREDSJEDNICE I ČLANOVA ODBORA ZA TURIZAM HRVATSKOGA SABORA",,,
1,IZGLASANI,52,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IZBORU POTPREDSJEDNIKA, RAZRJEŠENJU I IZBORU ČLANA MANDATNO-IMUNITETNOG POVJERENSTVA HRVATSKOGA SABORA",,,
1,IZGLASANI,24,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IZBORU PREDSJEDNICE, POTPREDSJEDNIKA I ČLANOVA ODBORA ZA PROSTORNO UREĐENJE I GRADITELJSTVO HRVATSKOGA SABORA",,,
1,IZGLASANI,28,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IZBORU PREDSJEDNICE, POTPREDSJEDNIKA I ČLANOVA ODBORA ZA REGIONALNI RAZVOJ I FONDOVE EUROPSKE UNIJE HRVATSKOGA SABORA",,,
1,IZGLASANI,20,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IZBORU PREDSJEDNICE, POTPREDSJEDNIKA I ČLANOVA ODBORA ZA ZDRAVSTVO I SOCIJALNU POLITIKU HRVATSKOGA SABORA",,,
1,IZGLASANI,22,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IZBORU PREDSJEDNIKA I ČLANOVA ODBORA ZA HRVATE IZVAN REPUBLIKE HRVATSKE HRVATSKOGA SABORA",,,
1,IZGLASANI,31,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IZBORU PREDSJEDNIKA I ČLANOVA ODBORA ZA PREDSTAVKE I PRITUŽBE HRVATSKOGA SABORA",,,
1,IZGLASANI,32,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IZBORU PREDSJEDNIKA I POTPREDSJEDNIKA ODBORA ZA MEĐUPARLAMENTARNU SURADNJU HRVATSKOGA SABORA",,,
1,IZGLASANI,33,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IZBORU PREDSJEDNIKA I PRESTANKU MANDATA PREDSJEDNIKA ODBORA I IZBORU ČLANA ODBORA ZA INFORMIRANJE, INFORMATIZACIJU I MEDIJE HRVATSKOGA SABORA",,,
1,IZGLASANI,17,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IZBORU PREDSJEDNIKA, POTPREDSJEDNICE I ČLANOVA ODBORA ZA LJUDSKA PRAVA I PRAVA NACIONALNIH MANJINA HRVATSKOGA SABORA",,,
1,IZGLASANI,26,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IZBORU PREDSJEDNIKA, POTPREDSJEDNICE I ČLANOVA ODBORA ZA OBRAZOVANJE, ZNANOST I KULTURU HRVATSKOGA SABORA",,,
1,IZGLASANI,34,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IZBORU PREDSJEDNIKA, POTPREDSJEDNICE I ČLANOVA ODBORA ZA RAVNOPRAVNOST SPOLOVA HRVATSKOGA SABORA",,,
1,IZGLASANI,12,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IZBORU PREDSJEDNIKA, POTPREDSJEDNIKA I ČLANOVA ODBORA ZA UNUTARNJU POLITIKU I NACIONALNU SIGURNOST HRVATSKOGA SABORA",,,
1,IZGLASANI,37,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IZBORU PREDSJEDNIKA, POTPREDSJEDNIKA I ČLANOVA NACIONALNOG VIJEĆA ZA PRAĆENJE PROVEDBE STRATEGIJE SUZBIJANJA KORUPCIJE",,,
1,IZGLASANI,10,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IZBORU PREDSJEDNIKA, POTPREDSJEDNIKA I ČLANOVA ODBORA ZA EUROPSKE POSLOVE HRVATSKOGA SABORA",,,
1,IZGLASANI,15,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IZBORU PREDSJEDNIKA, POTPREDSJEDNIKA I ČLANOVA ODBORA ZA GOSPODARSTVO HRVATSKOGA SABORA",,,
1,IZGLASANI,13,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IZBORU PREDSJEDNIKA, POTPREDSJEDNIKA I ČLANOVA ODBORA ZA OBRANU HRVATSKOGA SABORA",,,
1,IZGLASANI,27,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IZBORU PREDSJEDNIKA, POTPREDSJEDNIKA I ČLANOVA ODBORA ZA POLJOPRIVREDU HRVATSKOGA SABORA",,,
1,IZGLASANI,29,"PRIJEDLOG ODLUKE ODBORA ZA IZBOR, IMENOVANJA I UPRAVNE POSLOVE O IZBORU PREDSJEDNIKA, POTPREDSJEDNIKA I ČLANOVA ODBORA ZA POMORSTVO, PROMET I INFRASTRUKTURU HRVATSKOGA SABORA",,,
